
2022-01-02 12:38:38 172.16.68.3:56550 -> 45.33.32.156:80 sqlmap
2022-01-03 12:21:20 34.98.64.218:443 -> 172.16.68.3:43216 nmap_ua" 
2022-01-03 12:21:20 34.98.64.218:443 -> 172.16.68.3:43216 /bin/sh" 
2022-01-03 12:21:20 172.16.68.3:43216 -> 34.98.64.218:443 nmap_ua" 
2022-01-03 12:21:20 172.16.68.3:43216 -> 34.98.64.218:443 /bin/sh" 
2022-01-03 12:21:20 34.98.64.218:443 -> 172.16.68.3:42920 nmap_ua" 
2022-01-03 12:21:20 34.98.64.218:443 -> 172.16.68.3:42920 /bin/sh" 
2022-01-03 12:21:20 172.16.68.3:42920 -> 34.98.64.218:443 nmap_ua" 
2022-01-03 12:21:20 172.16.68.3:42920 -> 34.98.64.218:443 /bin/sh" 
2022-01-03 12:21:20 172.16.68.3:50310 -> 23.92.190.69:443 nmap_ua" 
2022-01-03 12:21:20 172.16.68.3:50310 -> 23.92.190.69:443 /bin/sh" 
2022-01-03 12:21:20 34.98.64.218:443 -> 172.16.68.3:43370 nmap_ua" 
2022-01-03 12:21:20 34.98.64.218:443 -> 172.16.68.3:43370 /bin/sh" 
2022-01-03 12:21:20 172.16.68.3:43370 -> 34.98.64.218:443 nmap_ua" 
2022-01-03 12:21:20 172.16.68.3:43370 -> 34.98.64.218:443 /bin/sh" 
2022-01-03 12:21:20 23.92.190.69:443 -> 172.16.68.3:50310 nmap_ua" 
2022-01-03 12:21:20 23.92.190.69:443 -> 172.16.68.3:50310 /bin/sh" 
2022-01-03 12:21:21 34.98.64.218:443 -> 172.16.68.3:43370 nmap_ua" 
2022-01-03 12:21:21 34.98.64.218:443 -> 172.16.68.3:43370 /bin/sh" 
2022-01-03 12:21:21 172.16.68.3:43370 -> 34.98.64.218:443 nmap_ua" 
2022-01-03 12:21:21 172.16.68.3:43370 -> 34.98.64.218:443 /bin/sh" 
2022-01-03 12:21:21 172.16.68.3:34844 -> 8.43.72.41:443 nmap_ua" 
2022-01-03 12:21:21 172.16.68.3:34844 -> 8.43.72.41:443 /bin/sh" 
2022-01-03 12:21:21 8.43.72.41:443 -> 172.16.68.3:34844 nmap_ua" 
2022-01-03 12:21:21 8.43.72.41:443 -> 172.16.68.3:34844 /bin/sh" 
2022-01-03 12:21:21 34.98.64.218:443 -> 172.16.68.3:43370 nmap_ua" 
2022-01-03 12:21:21 34.98.64.218:443 -> 172.16.68.3:43370 /bin/sh" 
2022-01-03 12:21:21 172.16.68.3:43370 -> 34.98.64.218:443 nmap_ua" 
2022-01-03 12:21:21 172.16.68.3:43370 -> 34.98.64.218:443 /bin/sh" 
2022-01-03 12:21:21 172.16.68.3:43056 -> 34.98.64.218:443 nmap_ua" 
2022-01-03 12:21:21 172.16.68.3:43056 -> 34.98.64.218:443 /bin/sh" 
2022-01-03 12:21:21 68.67.160.114:443 -> 172.16.68.3:56964 nmap_ua" 
2022-01-03 12:21:21 68.67.160.114:443 -> 172.16.68.3:56964 /bin/sh" 
2022-01-03 12:21:21 172.16.68.3:56964 -> 68.67.160.114:443 nmap_ua" 
2022-01-03 12:21:21 172.16.68.3:56964 -> 68.67.160.114:443 /bin/sh" 
2022-01-03 12:21:21 68.67.160.114:443 -> 172.16.68.3:56968 nmap_ua" 
2022-01-03 12:21:21 68.67.160.114:443 -> 172.16.68.3:56968 /bin/sh" 
2022-01-03 12:21:21 172.16.68.3:56968 -> 68.67.160.114:443 nmap_ua" 
2022-01-03 12:21:21 172.16.68.3:56968 -> 68.67.160.114:443 /bin/sh" 
2022-01-03 12:21:21 34.98.64.218:443 -> 172.16.68.3:43370 nmap_ua" 
2022-01-03 12:21:21 34.98.64.218:443 -> 172.16.68.3:43370 /bin/sh" 
2022-01-03 12:21:21 172.16.68.3:43370 -> 34.98.64.218:443 nmap_ua" 
2022-01-03 12:21:21 172.16.68.3:43370 -> 34.98.64.218:443 /bin/sh" 
2022-01-03 12:21:22 172.16.68.3:38902 -> 52.85.61.112:443 nmap_ua" 
2022-01-03 12:21:22 172.16.68.3:38902 -> 52.85.61.112:443 /bin/sh" 
2022-01-03 12:21:22 52.85.61.112:443 -> 172.16.68.3:38902 nmap_ua" 
2022-01-03 12:21:22 52.85.61.112:443 -> 172.16.68.3:38902 /bin/sh" 
2022-01-03 12:23:25 172.16.68.3:57710 -> 45.33.32.156:80 /bin/sh
2022-01-03 12:23:35 172.16.68.3:57736 -> 45.33.32.156:80 nmap_ua
2022-01-03 12:23:46 172.16.68.3:57884 -> 45.33.32.156:80 nmap_ua
2022-01-03 12:23:46 172.16.68.3:57884 -> 45.33.32.156:80 /bin/sh
2022-01-04 11:41:45 65.55.44.109:443 -> 172.16.68.3:40708 "/bin/ps-cmd-attempt";
2022-01-04 11:41:45 65.55.44.109:443 -> 172.16.68.3:40708 "ps-cmd-attempt";
2022-01-04 11:41:45 65.55.44.109:443 -> 172.16.68.3:40708 "wget-cmd-attempt";
2022-01-04 11:41:45 65.55.44.109:443 -> 172.16.68.3:40708 "uname-cmd-attempt";
2022-01-04 11:41:45 65.55.44.109:443 -> 172.16.68.3:40708 "id-cmd-attempt";
2022-01-04 11:41:45 65.55.44.109:443 -> 172.16.68.3:40708 "bin/id-cmd-attempt";
2022-01-04 11:41:45 65.55.44.109:443 -> 172.16.68.3:40708 "echo-cmd-attempt";
2022-01-04 11:41:45 65.55.44.109:443 -> 172.16.68.3:40708 "kill-cmd-attempt";
2022-01-04 11:41:45 65.55.44.109:443 -> 172.16.68.3:40708 "chmod-cmd-attempt";
2022-01-04 11:41:45 65.55.44.109:443 -> 172.16.68.3:40708 "chgrp-cmd-attempt";
2022-01-04 11:41:45 65.55.44.109:443 -> 172.16.68.3:40708 "chown-cmd-attempt";
2022-01-04 11:41:45 65.55.44.109:443 -> 172.16.68.3:40708 "chsh-cmd-attempt";
2022-01-04 11:41:45 65.55.44.109:443 -> 172.16.68.3:40708 "tftp-cmd-attempt";
2022-01-04 11:41:45 65.55.44.109:443 -> 172.16.68.3:40708 "gcc-cmd-attempt";
2022-01-04 11:41:45 65.55.44.109:443 -> 172.16.68.3:40708 "g++-cmd-attempt";
2022-01-04 11:41:45 65.55.44.109:443 -> 172.16.68.3:40708 "tclsh-cmd-attempt";
2022-01-04 11:41:45 65.55.44.109:443 -> 172.16.68.3:40708 "ping-cmd-attempt";
2022-01-04 11:41:45 65.55.44.109:443 -> 172.16.68.3:40708 "nc-cmd-attempt";
2022-01-04 11:41:45 65.55.44.109:443 -> 172.16.68.3:40708 "netcat-cmd-attempt";
2022-01-04 11:41:45 65.55.44.109:443 -> 172.16.68.3:40708 "traceroute-cmd-attempt";
2022-01-04 11:41:45 65.55.44.109:443 -> 172.16.68.3:40708 "nmap-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "/bin/ps-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "ps-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "wget-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "uname-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "id-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "bin/id-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "echo-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "kill-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "chmod-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "chgrp-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "chown-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "chsh-cmd-attempt";
2022-01-04 11:43:59 172.16.68.3:60400 -> 35.232.111.17:80 "tftp-cmd-attempt";
